id,en,de,es,fr,phe,kcal,emoji
17124,"Veal, shoulder, arm, separable lean and fat, cooked, roasted","Kalbfleisch, Schulter, Kalbfleisch, trennbares Mager- und Fettfleisch, gekocht, gebraten","Ternera, paleta, brazo, parte magra y grasa, cocido, asado","Veau, épaule, bras, maigre et gras séparable, cuit, rôti",1.03,183.0,🍽️
17136,"Veal, sirloin, separable lean and fat, cooked, roasted","Kalbfleisch, Lendenstück, trennbares Mager- und Fettfleisch, gekocht, gebraten","Ternera, solomillo, parte magra y grasa, cocido, asado","Veau, surlonge, maigre et gras séparable, cuit, rôti",1.02,202.0,🍽️
17134,"Veal, sirloin, separable lean and fat, raw","Kalbfleisch, Lendenstück, trennbar mager und fett, roh","Ternera, solomillo, parte magra y grasa, crudo","Veau, surlonge, maigre et gras séparable, cru",0.769,152.0,🍽️
17135,"Veal, sirloin, separable lean and fat, cooked, braised","Kalbfleisch, Roastbeef, trennbares Magerfleisch und Fett, gekocht, geschmort","Ternera, solomillo, parte magra y grasa, cocido, estofado","Veau, surlonge, maigre et gras séparable, cuit, braisé",1.26,252.0,🍽️
17133,"Veal, shoulder, blade, separable lean only, cooked, roasted","Kalbfleisch, Schulter, Kalbfleisch, trennbar, nur mager, gekocht, gebraten","Ternera, paleta, omóplato, sólo magro separable, cocido, asado","Veau, épaule, lame, maigre séparable seulement, cuite, rôtie",1.04,171.0,🍽️
17125,"Veal, shoulder, arm, separable lean only, raw","Kalbfleisch, Schulter, Kalbfleisch, nur teilbar, mager, roh","Ternera, paleta, brazo, sólo magro separable, crudo","Veau, épaule, bras, maigre séparable seulement, cru",0.809,105.0,🍽️
17126,"Veal, shoulder, arm, separable lean only, cooked, braised","Kalbfleisch, Schulter, Kalbfleisch, nur teilbar, mager, gekocht, geschmort","Ternera, paleta, brazo, sólo magro separable, cocido, estofado","Veau, épaule, bras, maigre séparable seulement, cuit, braisé",1.44,201.0,🍽️
17117,"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, braised","Kalbfleisch, Schulter, ganz (Arm und Blatt), mageres und fettes Teil, gekocht, geschmort","Ternera, paleta, entera (brazo y cuchilla), parte magra y grasa, cocida, estofada","Veau, épaule, entière (bras et lame), maigre et gras séparable, cuite, braisée",1.29,228.0,🍽️
17116,"Veal, shoulder, whole (arm and blade), separable lean and fat, raw","Kalbfleisch, Schulter, ganz (Hals und Schulter), trennbares mageres und fettes Fleisch, roh","Ternera, paleta, entera (brazo y corte), parte magra y grasa, cruda","Veau, épaule, entière (bras et lame), maigre et gras séparable, cru",0.778,130.0,🍽️
17110,"Veal, rib, separable lean and fat, raw","Kalbfleisch, Rippchen, trennbares mageres und fettes Fleisch, roh","Ternera, costillas, parte magra y grasa, cruda","Veau, côte, maigre et gras séparable, cru",0.761,162.0,🍽️
17111,"Veal, rib, separable lean and fat, cooked, braised","Kalbfleisch, Rippchen, trennbares Mager- und Fettfleisch, gekocht, geschmort","Ternera, costilla, parte magra y grasa, cocida, estofada","Veau, côte, maigre et gras séparable, cuit, braisé",1.31,251.0,🍽️
17119,"Veal, shoulder, whole (arm and blade), separable lean only, raw","Kalbfleisch, Schulter, ganz (Hülse und Blatt), teilbar, nur mager, roh","Ternera, paleta, entera (brazo y cuchilla), sólo magro separable, cruda","Veau, épaule, entière (bras et lame), maigre séparable seulement, crue",0.799,112.0,🍽️
17118,"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, roasted","Kalbfleisch, Schulter, ganz (Arm und Blatt), mager und fettig, trennbar, gekocht, gebraten","Ternera, paleta, entera (brazo y cuchilla), parte magra y grasa, cocida, asada","Veau, épaule, entière (bras et lame), maigre et gras séparable, cuite, rôtie",1.02,184.0,🍽️
17109,"Veal, loin, separable lean only, cooked, roasted","Kalbfleisch, Lende, nur trennbar, mager, gekocht, gebraten","Ternera, lomo, sólo magro separable, cocido, asado","Veau, longe, maigre séparable seulement, cuit, rôti",1.06,175.0,🍽️
17099,"Veal, leg (top round), separable lean only, raw","Kalbfleisch, Keule (oben rund), teilbar, nur mager, roh","Ternera, pierna (ronda superior), sólo magro separable, cruda","Veau, cuisse (haut rond), maigre séparable seulement, cru",0.859,107.0,🍽️
17108,"Veal, loin, separable lean only, cooked, braised","Kalbfleisch, Lende, nur teilbar, mager, gekocht, geschmort","Ternera, lomo, sólo magro separable, cocido, estofado","Veau, longe, maigre séparable seulement, cuit, braisé",1.36,226.0,🍽️
17101,"Veal, leg (top round), separable lean only, cooked, pan-fried, breaded","Kalbfleisch, Keule (oben rund), teilbar, nur mager, gegart, in der Pfanne gebraten, paniert","Ternera, pierna (ronda superior), sólo magro separable, cocido, frito, empanizado","Veau, cuisse (haut de ronde), maigre séparable uniquement, cuit, poêlé, pané",1.17,216.0,🍞
17100,"Veal, leg (top round), separable lean only, cooked, braised","Kalbfleisch, Keule (oben rund), teilbar, nur mager, gegart, geschmort","Ternera, pierna (ronda superior), sólo magro separable, cocida, estofada","Veau, cuisse (haut rond), maigre séparable seulement, cuit, braisé",1.48,203.0,🍽️
17102,"Veal, leg (top round), separable lean only, cooked, pan-fried, not breaded","Kalbfleisch, Keule (oben rund), nur teilbar, mager, gegart, in der Pfanne gebraten, nicht paniert","Ternera, pierna (redondo superior), sólo magro separable, cocido, frito, sin empanizar","Veau, cuisse (haut de ronde), maigre séparable uniquement, cuit, poêlé, non pané",1.34,183.0,🍞
17092,"Veal, composite of trimmed retail cuts, separable fat, raw","Kalbfleisch, zusammengesetzt aus geschnittenen Teilstücken, trennbares Fett, roh","Ternera, compuesto de cortes minoristas recortados, grasa separable, crudo","Veau, composé de coupes parées au détail, graisse séparable, cru",0.243,638.0,🍽️
17094,"Veal, leg (top round), separable lean and fat, raw","Kalbfleisch, Keule (oben rund), trennbares mageres und fettes Fleisch, roh","Ternera, pierna (ronda superior), parte magra y grasa, cruda","Veau, cuisse (haut rond), maigre et gras séparable, cru",0.847,117.0,🍽️
17085,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, cooked, braised","Lamm, Neuseeland, importiert, gefroren, Schulter, ganz (Arm und Lamelle), trennbares mageres und fettes Fleisch, gekocht, geschmort","Cordero, Nueva Zelanda, importado, congelado, paleta, entera (el brazo y al corte), parte magra y grasa, cocido, estofado","Agneau, Nouvelle-Zélande, importé, congelé, épaule, entière (bras et lame), maigre et gras séparable, cuit, braisé",1.15,357.0,🍽️
17086,"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw","Lamm, Neuseeland, importiert, quadratisch geschnittene Schulter, nur trennbares Magerfleisch, roh","Cordero, Nueva Zelanda, importado, paleta de corte cuadrado, sólo magro separable, crudo","Agneau, Nouvelle-Zélande, importé, épaule carrée, maigre séparable seulement, cru",0.777,154.0,🍽️
17091,"Veal, composite of trimmed retail cuts, separable lean only, cooked","Kalbfleisch, zusammengesetzt aus geschnittenen, im Einzelhandel erhältlichen Teilstücken, trennbar, nur mager, gegart","Ternera, compuesto de cortes minoristas recortados, sólo magro separable, cocido","Veau, composé de coupes de détail parées, maigre séparable seulement, cuit",1.29,196.0,🍽️
17093,"Veal, composite of trimmed retail cuts, separable fat, cooked","Kalbfleisch, zusammengesetzt aus geschnittenen Teilstücken, abtrennbares Fett, gegart","Ternera, compuesto de cortes minoristas recortados, grasa separable, cocido","Veau, composé de coupes de détail parées, graisse séparable, cuit",0.38,642.0,🍽️
17077,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled","Lamm, Neuseeland, importiert, gefroren, Lende, trennbar mager und fett, gekocht, gegrillt","Cordero, Nueva Zelanda, importado, congelado, lomo, parte magra y grasa, cocido, a la parrilla","Agneau, Nouvelle-Zélande, importé, congelé, longe, maigre et gras séparable, cuit, grillé",0.954,315.0,🍽️
16389,"Peanuts, all types, oil-roasted, without salt","Erdnüsse aller Art, in Öl geröstet, ohne Salz","Cacahuetes, todos los tipos, tostados en aceite, sin sal","Cacahuètes, tous types, grillées à l'huile, sans sel",1.43,599.0,🥜
17084,"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw","Lamm, Neuseeland, importiert, quadratisch geschnittene Schulter, trennbares Magerfleisch und Fett, roh","Cordero, Nueva Zelanda, importado, lomo de corte cuadrado, parte magra y grasa, crudo","Agneau, Nouvelle-Zélande, importé, épaule carrée, maigre et gras séparable, cru",0.636,272.0,🍽️
17082,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw","Lamm, Neuseeland, importiert, Reck - teilweise französisch, teilbar, nur mager, roh","Cordero, Nueva Zelanda, importado, costillar - parcialmente francés, sólo magro separable, crudo","Agneau, Nouvelle-Zélande, importé, carré - partiellement français, maigre séparable seulement, cru",0.813,160.0,🍽️
17083,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted","Lamm, Neuseeland, importiert, Roastbeef – teilweise französisch, teilbar, nur mager, gekocht, schnell gebraten","Cordero, Nueva Zelanda, importado, costillar - parcialmente francés, sólo magro separable, cocido, asado rápido","Agneau, Nouvelle-Zélande, importé, carré - partiellement français, maigre séparable seulement, cuit, rôti rapidement",0.962,193.0,🍽️
16381,"Mung beans, mature seeds, cooked, boiled, with salt","Mungobohnen, reife Samen, gekocht, gekocht, mit Salz","Frijoles mungo, semillas maduras, cocidos, hervidos, con sal","Haricots mungo, graines mûres, cuites, bouillies, avec du sel",0.425,105.0,🫘
16363,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt","Kuherbsen, Gewöhnliche (Blackeyes, Crowder, Southern), reife Samen, gekocht, gekocht, mit Salz","Caupí, común (blackeyes, crowder, sureño), semillas maduras, cocido, hervido, con sal","Niébé, commun (noir, crowder, sud), graines mûres, cuites, bouillies, avec du sel",0.451,116.0,🧂
16384,"Mungo beans, mature seeds, cooked, boiled, with salt","Mungobohnen, reife Samen, gekocht, gekocht, mit Salz","Frijoles mungo, semillas maduras, cocidos, hervidos, con sal","Haricots mungo, graines mûres, cuites, bouillies, avec du sel",0.44,105.0,🫘
16370,"Lentils, mature seeds, cooked, boiled, with salt","Linsen, reife Samen, gekocht, gekocht, mit Salz","Lentejas, semillas maduras, cocidas, hervidas, con sal","Lentilles, graines mûres, cuites, bouillies, avec du sel",0.445,114.0,🧂
16368,"Hyacinth beans, mature seeds, cooked, boiled, with salt","Hyazinthenbohnen, reife Samen, gekocht, gekocht, mit Salz","Frijoles jacinto, semillas maduras, cocidas, hervidas, con sal","Haricots de jacinthe, graines mûres, cuites, bouillies, avec du sel",0.41,117.0,🫘
16386,"Peas, split, mature seeds, cooked, boiled, with salt","Erbsen, gespalten, reife Samen, gekocht, gekocht, mit Salz","Guisantes, partidos, semillas maduras, cocidos, hervidos, con sal","Pois cassés, graines mûres, cuits, bouillis, avec du sel",0.384,116.0,🧂
16361,"Cowpeas, catjang, mature seeds, cooked, boiled, with salt","Kuherbsen, Catjang, reife Samen, gekocht, gekocht, mit Salz","Caupí, catjang, semillas maduras, cocidas, hervidas, con sal","Niébé, catjang, graines mûres, cuites, bouillies, avec du sel",0.475,117.0,🧂
16360,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium","Kichererbsen (Kichererbsen, Bengal-Gramm), reife Samen, in Dosen, Feststoffe und Flüssigkeiten, wenig Natrium","Garbanzos (garbanzos, gramo de bengala), semillas maduras, enlatados, sólidos y líquidos, bajos en sodio","Pois chiches (haricots chiches, gramme de Bengale), graines mûres, en conserve, solides et liquides, faible teneur en sodium",0.265,88.0,🫘
16347,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium","Bohnen, Pinto, reife Samen, in Dosen, Feststoffe und Flüssigkeiten, natriumarm","Frijoles, pintos, semillas maduras, enlatados, sólidos y líquidos, bajos en sodio","Haricots, pinto, graines mûres, en conserve, solides et liquides, faible teneur en sodium",0.237,82.0,🫘
16348,"Beans, yellow, mature seeds, cooked, boiled, with salt","Bohnen, gelbe, reife Samen, gekocht, gekocht, mit Salz","Frijoles, amarillos, semillas maduras, cocidos, hervidos, con sal","Haricots jaunes, graines mûres, cuits, bouillis, avec du sel",0.496,144.0,🫘
16350,"Beans, white, mature seeds, cooked, boiled, with salt","Bohnen, weiß, reife Samen, gekocht, gekocht, mit Salz","Frijoles, blancos, semillas maduras, cocidos, hervidos, con sal","Haricots blancs, graines mûres, cuits, bouillis, avec du sel",0.526,139.0,🫘
16346,"Beans, small white, mature seeds, cooked, boiled, with salt","Bohnen, kleine weiße, reife Samen, gekocht, gekocht, mit Salz","Frijoles, blancos pequeños, con semillas maduras, cocidos, hervidos, con sal","Haricots, petites graines blanches mûres, cuites, bouillies, avec du sel",0.485,142.0,🫘
16323,"Beans, french, mature seeds, cooked, boiled, with salt","Bohnen, französische, reife Samen, gekocht, gekocht, mit Salz","Frijoles, franceses, semillas maduras, cocidos, hervidos, con sal","Haricots français, graines mûres, cuits, bouillis, avec du sel",0.381,129.0,🫘
16333,"Beans, kidney, red, mature seeds, cooked, boiled, with salt","Bohnen, Nieren, rote, reife Samen, gekocht, gekocht, mit Salz","Frijoles, riñones, rojos, semillas maduras, cocidos, hervidos, con sal","Haricots rouges, graines mûres, cuits, bouillis, avec du sel",0.469,127.0,🫘
16320,"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt","Bohnen, Cranberry (römisch), reife Samen, gekocht, gekocht, mit Salz","Frijoles, arándanos (romanos), semillas maduras, cocidos, hervidos, con sal","Haricots, canneberges (romaines), graines mûres, cuites, bouillies, avec du sel",0.505,136.0,🫘
16336,"Beans, kidney, royal red, mature seeds, cooked, boiled with salt","Bohnen, Nieren, Royal Red, reife Samen, gekocht, mit Salz gekocht","Frijoles, riñones, rojo real, semillas maduras, cocidos, hervidos con sal","Haricots, rognons, rouge royal, graines mûres, cuits, bouillis avec du sel",0.513,123.0,🫘
16335,"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water","Bohnen, Nieren, rote, reife Samen, aus der Dose, abgetropfte Feststoffe, in Leitungswasser gespült","Frijoles, rojos, semillas maduras, en lata, sólidos escurridos, enjuagados con agua del grifo","Haricots, rouges, graines mûres, en conserve, solides égouttés, rincés à l'eau du robinet",0.479,121.0,🫘
16317,"Beans, black turtle, mature seeds, cooked, boiled, with salt","Bohnen, schwarze Schildkröte, reife Samen, gekocht, gekocht, mit Salz","Frijoles, tortuga negra, semillas maduras, cocidos, hervidos, con sal","Haricots, tortue noire, graines mûres, cuites, bouillies, avec du sel",0.442,130.0,🫘
16337,"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium","Bohnen, Nieren, rot, reife Samen, in Dosen, fest und flüssig, natriumarm","Frijoles, riñones, rojos, semillas maduras, enlatados, sólidos y líquidos, bajos en sodio","Haricots rouges, graines mûres, en conserve, solides et liquides, faible teneur en sodium",0.317,81.0,🫘
16315,"Beans, black, mature seeds, cooked, boiled, with salt","Bohnen, schwarz, reife Samen, gekocht, gekocht, mit Salz","Frijoles, negros, semillas maduras, cocidos, hervidos, con sal","Haricots noirs, graines mûres, cuits, bouillis, avec du sel",0.479,132.0,🫘
16316,"Beans, black, mature seeds, canned, low sodium","Bohnen, schwarz, reife Samen, aus der Dose, natriumarm","Frijoles, negros, semillas maduras, enlatados, bajos en sodio","Haricots noirs, graines mûres, en conserve, faible teneur en sodium",0.356,91.0,🫘
16067,"Hyacinth beans, mature seeds, raw","Hyazinthenbohnen, reife Samen, roh","Frijoles jacinto, semillas maduras, crudas","Haricots jacinthes, graines mûres, crus",1.2,344.0,🫘
16061,"Cowpeas, catjang, mature seeds, cooked, boiled, without salt","Kuherbsen, Catjang, reife Samen, gekocht, gekocht, ohne Salz","Caupí, catjang, semillas maduras, cocidas, hervidas, sin sal","Niébé, catjang, graines mûres, cuites, bouillies, sans sel",0.475,117.0,🧂
16068,"Hyacinth beans, mature seeds, cooked, boiled, without salt","Hyazinthenbohnen, reife Samen, gekocht, gekocht, ohne Salz","Frijoles jacinto, semillas maduras, cocidas, hervidas, sin sal","Haricots de jacinthe, graines mûres, cuites, bouillies, sans sel",0.41,117.0,🫘
16051,"Beans, white, mature seeds, canned","Bohnen, weiß, reife Samen, aus der Dose","Frijoles, blancos, semillas maduras, enlatados","Haricots blancs, graines mûres, en conserve",0.392,114.0,🫘
16052,"Broadbeans (fava beans), mature seeds, raw","Saubohnen (Ackerbohnen), reife Samen, roh","Habas (habas), semillas maduras, crudas","Fèves (fèves), graines mûres, crues",1.1,341.0,🫘
16060,"Cowpeas, catjang, mature seeds, raw","Kuherbsen, Catjang, reife Samen, roh","Caupí, catjang, semillas maduras, crudas","Niébé, catjang, graines mûres, crues",1.39,343.0,🍽️
16058,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids","Kichererbsen (Kichererbsen, Bengal-Gramm), reife Samen, in Dosen, Feststoffe und Flüssigkeiten","Garbanzos (garbanzos, gramo de bengala), semillas maduras, enlatados, sólidos y líquidos","Pois chiches (haricots chiches, gramme de Bengale), graines mûres, en conserve, solides et liquides",0.265,88.0,🫘
16059,"Chili with beans, canned","Chili mit Bohnen, aus der Dose","Chile con frijoles, enlatado","Chili aux haricots, en conserve",0.292,103.0,🌶️
16050,"Beans, white, mature seeds, cooked, boiled, without salt","Bohnen, weiß, reife Samen, gekocht, gekocht, ohne Salz","Frijoles, blancos, semillas maduras, cocidos, hervidos, sin sal","Haricots blancs, graines mûres, cuits, bouillis, sans sel",0.526,139.0,🫘
16049,"Beans, white, mature seeds, raw","Bohnen, weiß, reife Samen, roh","Frijoles, blancos, semillas maduras, crudos","Haricots, blancs, graines mûres, crus",1.26,333.0,🫘
16044,"Beans, pinto, mature seeds, canned, solids and liquids","Bohnen, Pinto, reife Samen, Dosen, Feststoffe und Flüssigkeiten","Frijoles, pintos, semillas maduras, enlatados, sólidos y líquidos","Haricots, pinto, graines mûres, en conserve, solides et liquides",0.237,82.0,🫘
16041,"Beans, pink, mature seeds, cooked, boiled, without salt","Bohnen, rosa, reife Samen, gekocht, gekocht, ohne Salz","Frijoles, rosados, semillas maduras, cocidos, hervidos, sin sal","Haricots roses, graines mûres, cuits, bouillis, sans sel",0.49,149.0,🫘
16043,"Beans, pinto, mature seeds, cooked, boiled, without salt","Bohnen, Pinto, reife Samen, gekocht, gekocht, ohne Salz","Frijoles pintos, semillas maduras, cocidos, hervidos, sin sal","Haricots, pinto, graines mûres, cuits, bouillis, sans sel",0.531,143.0,🫘
16042,"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","Bohnen, Pinto, reife Samen, roh (einschließlich Lebensmittel für das Food Distribution Program des USDA)","Frijoles pintos, semillas maduras, crudos (Incluye alimentos para el Programa de Distribución de Alimentos del USDA)","Haricots pinto, graines mûres, crus (comprend les aliments destinés au programme de distribution alimentaire de l'USDA)",1.1,347.0,🫘
16036,"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt","Bohnen, Nieren, Royal Red, reife Samen, gekocht, gekocht, ohne Salz","Frijoles, riñones, rojo real, semillas maduras, cocidos, hervidos, sin sal","Haricots, rognons, rouge royal, graines mûres, cuits, bouillis, sans sel",0.513,123.0,🫘
16027,"Beans, kidney, all types, mature seeds, raw","Bohnen, Nieren, alle Sorten, reife Samen, roh","Frijoles, riñones, todos los tipos, semillas maduras, crudos","Haricots, rognons, tous types, graines mûres, crus",1.28,333.0,🫘
16026,"Beans, great northern, mature seeds, canned","Bohnen, Great Northern, reife Samen, in Dosen","Frijoles, gran norteño, semillas maduras, enlatados","Haricots, Great Northern, graines mûres, en conserve",0.435,114.0,🫘
16033,"Beans, kidney, red, mature seeds, cooked, boiled, without salt","Bohnen, Nieren, rot, reife Samen, gekocht, gekocht, ohne Salz","Frijoles, riñones, rojos, semillas maduras, cocidos, hervidos, sin sal","Haricots rouges, graines mûres, cuits, bouillis, sans sel",0.469,127.0,🫘
16035,"Beans, kidney, royal red, mature seeds, raw","Bohnen, Nieren, Royal Red, reife Samen, roh","Frijoles, riñón, rojo real, semillas maduras, crudos","Haricots, rognons, rouge royal, graines mûres, crus",1.37,329.0,🫘
16034,"Beans, kidney, red, mature seeds, canned, solids and liquids","Bohnen, Nierenbohnen, rote, reife Samen, in Dosen, Feststoffe und Flüssigkeiten","Frijoles, riñones, rojos, semillas maduras, enlatados, sólidos y líquidos","Haricots, rouges, graines mûres, en conserve, solides et liquides",0.317,81.0,🫘
16016,"Beans, black turtle, mature seeds, raw","Bohnen, schwarze Schildkröte, reife Samen, roh","Frijoles, tortuga negra, semillas maduras, crudos","Haricots, tortue noire, graines mûres, crues",1.15,339.0,🫘
16018,"Beans, black turtle, mature seeds, canned","Bohnen, schwarze Schildkröte, reife Samen, aus der Dose","Frijoles, tortuga negra, semillas maduras, enlatados","Haricots, tortue noire, graines mûres, en conserve",0.356,91.0,🫘
16024,"Beans, great northern, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","Bohnen, Great Northern, reife Samen, roh (einschließlich Lebensmittel für das Food Distribution Program des USDA)","Frijoles, gran norteño, semillas maduras, crudos (Incluye alimentos para el Programa de Distribución de Alimentos del USDA)","Haricots, Great Northern, graines mûres, crus (comprend les aliments pour le programme de distribution alimentaire de l'USDA)",1.18,339.0,🫘
16019,"Beans, cranberry (roman), mature seeds, raw","Bohnen, Cranberry (römisch), reife Samen, roh","Frijoles, arándano rojo (romano), semillas maduras, crudos","Haricots, canneberges (romaines), graines mûres, crues",1.24,335.0,🫘
16017,"Beans, black turtle, mature seeds, cooked, boiled, without salt","Bohnen, schwarze Schildkröte, reife Samen, gekocht, gekocht, ohne Salz","Frijoles, tortuga negra, semillas maduras, cocidos, hervidos, sin sal","Haricots, tortue noire, graines mûres, cuites, bouillies, sans sel",0.442,130.0,🫘
16025,"Beans, great northern, mature seeds, cooked, boiled, without salt","Bohnen, große Nordbohnen, reife Samen, gekocht, gekocht, ohne Salz","Frijoles, gran norteño, semillas maduras, cocidos, hervidos, sin sal","Haricots, Great Northern, graines mûres, cuits, bouillis, sans sel",0.451,118.0,🫘
16009,"Beans, baked, canned, with pork","Bohnen, gebacken, aus der Dose, mit Schweinefleisch","Frijoles, horneados, enlatados, con cerdo","Haricots cuits au four, en conserve, avec du porc",0.285,106.0,🫘
16007,"Beans, baked, canned, with beef","Bohnen, gebacken, aus der Dose, mit Rindfleisch","Frijoles, horneados, enlatados, con carne","Haricots cuits au four, en conserve, avec du bœuf",0.329,121.0,🫘
16008,"Beans, baked, canned, with franks","Bohnen, gebacken, aus der Dose, mit Franken","Frijoles, horneados, enlatados, con salchichas","Haricots cuits au four, en conserve, avec des francs",0.349,142.0,🫘
16006,"Beans, baked, canned, plain or vegetarian","Bohnen, gebacken, aus der Dose, pur oder vegetarisch","Frijoles, horneados, enlatados, naturales o vegetarianos","Haricots, cuits au four, en conserve, nature ou végétariens",0.267,94.0,🫘
15260,"Fish, salmon, pink, canned, drained solids","Fisch, Lachs, rosafarbene, konservierte, abgetropfte Feststoffe","Pescado, salmón, rosado, en lata, sólidos escurridos","Poisson, saumon, rose, en conserve, solides égouttés",0.951,138.0,🐟
15253,"Salmon, sockeye, canned, total can contents","Lachs, Rotlachs, Konserven, Gesamtinhalt der Dose","Salmón, salmón rojo, enlatado, contenido total de la lata","Saumon, saumon rouge, en conserve, contenu total de la boîte",0.877,153.0,🐟
15262,"Fish, tilapia, cooked, dry heat","Fisch, Tilapia, gekocht, trockene Hitze","Pescado, tilapia, cocido, calor seco.","Poisson, tilapia, cuit, chaleur sèche",1.05,128.0,🐟
15261,"Fish, tilapia, raw","Fisch, Tilapia, roh","Pescado, tilapia, crudo","Poisson, tilapia, cru",0.81,96.0,🐟
15243,"Crustaceans, crayfish, mixed species, farmed, cooked, moist heat","Krebstiere, Flusskrebse, gemischte Arten, gezüchtet, gekocht, feuchte Hitze","Crustáceos, cangrejos de río, especies mixtas, de piscifactoría, cocidos en calor húmedo","Crustacés, écrevisses, espèces mixtes, d'élevage, cuits, chaleur humide",0.737,87.0,🐟
15245,"Mollusks, oyster, eastern, farmed, raw","Weichtiere, Austern, östlich, gezüchtet, roh","Moluscos, ostras, orientales, de piscifactoría, crudas","Mollusques, huîtres, orientales, d'élevage, crues",0.187,59.0,🍽️
15246,"Mollusks, oyster, eastern, farmed, cooked, dry heat","Weichtiere, Austern, östlich, gezüchtet, gekocht, trockene Hitze","Moluscos, ostras, orientales, de piscifactoría, cocidos, calor seco","Mollusques, huîtres, orientales, d'élevage, cuites, chaleur sèche",0.251,79.0,🍽️
